Catalog Number,Description,HGNC_symbol,Gene ID NCBI,Expression Level,Expressed/Not expressed,Cell line (Parental),Delivery time,Product page
HZGHC000159c014,Human NEK4 knockout cell line 13bp deletion,NEK4,6787,14.54 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-nek4-knockout-cell-line-19800
HZGHC000159c015,Human NEK4 knockout cell line 8bp deletion,NEK4,6787,14.54 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-nek4-knockout-cell-line-19801
HZGHC341676,Human NEK5 knockout cell line,NEK5,341676,0.82 TPM,not expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-nek5-knockout-cell-line
HZGHC10783,Human NEK6 knockout cell line,NEK6,10783,20.88 TPM,expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-nek6-knockout-cell-line
HZGHC000340c006,Human NEK7 knockout cell line 2bp deletion,NEK7,140609,16.17 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-nek7-knockout-cell-line-19843
HZGHC000340c010,Human NEK7 knockout cell line 4bp deletion,NEK7,140609,16.17 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-nek7-knockout-cell-line-19844
HZGHC000340c011,Human NEK7 knockout cell line 13bp deletion,NEK7,140609,16.17 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-nek7-knockout-cell-line-19845
HZGHC000052c004,Human NEK8 knockout cell line 8bp deletion,NEK8,284086,5.29 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-nek8-knockout-cell-line-22582
HZGHC000052c009,Human NEK8 knockout cell line 7bp deletion,NEK8,284086,5.29 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-nek8-knockout-cell-line-22583
HZGHC000052c002,Human NEK8 knockout cell line 62bp insertion,NEK8,284086,5.29 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-nek8-knockout-cell-line-22584
HZGHC000052c011,Human NEK8 knockout cell line 2bp insertion,NEK8,284086,5.29 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-nek8-knockout-cell-line-22585
HZGHC000711c016,Human NEK9 knockout cell line 8bp deletion,NEK9,91754,23.50 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-nek9-knockout-cell-line-19907
HZGHC167359,Human NIM1K knockout cell line,NIM1K,167359,0.21 TPM,not expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-nim1k-knockout-cell-line
HZGHC002671c001,Human NRBP2 knockout cell line 13bp deletion,NRBP2,340371,16.54 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-nrbp2-knockout-cell-line-21549
HZGHC002436c002,Human NRBP2 knockout cell line 5bp deletion,NRBP2,340371,16.54 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-nrbp2-knockout-cell-line-21550
HZGHC002436c004,Human NRBP2 knockout cell line 17bp deletion,NRBP2,340371,16.54 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-nrbp2-knockout-cell-line-21551
HZGHC203447,Human NRK knockout cell line,NRK,203447,0.02 TPM,not expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-nrk-knockout-cell-line
HZGHC81788,Human NUAK2 knockout cell line,NUAK2,81788,0.69 TPM,not expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-nuak2-knockout-cell-line
HZGHC001262c004,Human OBSCN knockout cell line 19bp deletion,OBSCN,84033,0.61 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-obscn-knockout-cell-line-21684
HZGHC003431c010,Human OBSCN knockout cell line 62bp deletion,OBSCN,84033,0.61 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-obscn-knockout-cell-line-21685
HZGHC003431c001,Human OBSCN knockout cell line 23bp deletion,OBSCN,84033,0.61 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-obscn-knockout-cell-line-21686
HZGHC5063,Human PAK3 knockout cell line,PAK3,5063,8.78 TPM,expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-pak3-knockout-cell-line
HZGHC000310c018,Human PAK6 knockout cell line 2bp deletion,PAK6,56924,7.11 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-pak6-knockout-cell-line-3756
HZGHC255967,Human PAN3 knockout cell line,PAN3,255967,9.01 TPM,expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-pan3-knockout-cell-line
HZGHC004547c001,Human PDIK1L knockout cell line 2bp deletion,PDIK1L,149420,7.06 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-pdik1l-2bp-deletion-knockout-cell-line-hzghc004547c001
HZGHC004547c010,Human PDIK1L knockout cell line 1bp deletion,PDIK1L,149420,7.06 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-pdik1l-1bp-deletion-knockout-cell-line-hzghc004547c010
HZGHC004547c012,Human PDIK1L knockout cell line 1bp insertion,PDIK1L,149420,7.06 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-pdik1l-1bp-insertion-knockout-cell-line-hzghc004547c012
HZGHC000322c002,Human PHKG1 knockout cell line 7bp deletion,PHKG1,5260,0.58 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-phkg1-knockout-cell-line-20627
HZGHC000322c016,Human PHKG1 knockout cell line 2bp deletion,PHKG1,5260,0.58 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-phkg1-knockout-cell-line-20628
HZGHC000322c018,Human PHKG1 knockout cell line 10bp deletion,PHKG1,5260,0.58 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-phkg1-knockout-cell-line-20629
HZGHC000164c018,Human PHKG2 knockout cell line 1bp insertion,PHKG2,5261,27.91 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-phkg2-knockout-cell-line-19738
HZGHC5297,Human PI4KA knockout cell line,PI4KA,5297,42.79 TPM,expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-pi4ka-knockout-cell-line
HZGHC000697c006,Human PIK3C2B knockout cell line 5bp deletion,PIK3C2B,5287,4.47 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-pik3c2b-knockout-cell-line-3505
HZGHC000697c009,Human PIK3C2B knockout cell line 2bp insertion,PIK3C2B,5287,4.47 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-pik3c2b-knockout-cell-line-3506
HZGHC5288,Human PIK3C2G knockout cell line,PIK3C2G,5288,0.06 TPM,not expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-pik3c2g-knockout-cell-line
HZGHC004190c004,Human PIP4K2C knockout cell line 1bp insertion,PIP4K2C,79837,34.90 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-pip4k2c-1bp-insertion-knockout-cell-lin-hzghc004190c004
HZGHC002891c003,Human PIP5K1A knockout cell line 14bp deletion,PIP5K1A,8394,55.38 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-pip5k1a-knockout-cell-line-2668
HZGHC002891c006,Human PIP5K1A knockout cell line 32bp deletion,PIP5K1A,8394,55.38 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-pip5k1a-knockout-cell-line-2669
HZGHC8395,Human PIP5K1B knockout cell line,PIP5K1B,8395,0.41 TPM,not expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-pip5k1b-knockout-cell-line
HZGHC002890c004,Human PIP5K1C knockout cell line 11bp deletion,PIP5K1C,23396,6.79 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-pip5k1c-knockout-cell-line-2666
HZGHC002890c012,Human PIP5K1C knockout cell line 31bp deletion,PIP5K1C,23396,6.79 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-pip5k1c-knockout-cell-line-2667
HZGHC9088,Human PKMYT1 knockout cell line,PKMYT1,9088,87.94 TPM,expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-pkmyt1-knockout-cell-line
HZGHC000100c011,Human PKN3 knockout cell line 7bp deletion,PKN3,29941,16.89 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-pkn3-knockout-cell-line-20572
HZGHC000100c015,Human PKN3 knockout cell line 8bp deletion,PKN3,29941,16.89 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-pkn3-knockout-cell-line-20573
HZGHC000324c020,Human PNCK knockout cell line 14bp deletion,PNCK,139728,17.67 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-pnck-knockout-cell-line-21362
HZGHC000324c013,Human PNCK knockout cell line 11bp deletion,PNCK,139728,17.67 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-pnck-knockout-cell-line-21364
HZGHC001338c001,Human POMK knockout cell line 1bp insertion,POMK,84197,4.86 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-pomk-knockout-cell-line-3112
HZGHC001338c004,Human POMK knockout cell line 10bp deletion,POMK,84197,4.86 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-pomk-knockout-cell-line-3113
HZGHC000314c004,Human PRKACB knockout cell line 8bp deletion,PRKACB,5567,12.53 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-prkacb-knockout-cell-line-19573
HZGHC000314c011,Human PRKACB knockout cell line 23bp deletion,PRKACB,5567,12.53 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-prkacb-knockout-cell-line-19574
HZGHC5568,Human PRKACG knockout cell line,PRKACG,5568,0.04 TPM,not expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-prkacg-knockout-cell-line
HZGHC000237c003,Human PRKCQ knockout cell line 4bp deletion,PRKCQ,5588,6.70 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-prkcq-knockout-cell-line-19610
HZGHC000240c009,Human PSKH1 knockout cell line 41bp deletion,PSKH1,5681,12.55 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-pskh1-knockout-cell-line-19797
HZGHC85481,Human PSKH2 knockout cell line,PSKH2,85481,0.00 TPM,not expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-pskh2-knockout-cell-line
HZGHC000103c013,Human PXK knockout cell line 1bp insertion,PXK,54899,21.22 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-pxk-knockout-cell-line-19632
HZGHC000103c020,Human PXK knockout cell line 11bp deletion,PXK,54899,21.22 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-pxk-knockout-cell-line-19633
HZGHC000059c011,Human RIOK3 knockout cell line 14bp deletion,RIOK3,8780,23.59 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-riok3-knockout-cell-line-3851
HZGHC003288c001,Human RNASEL knockout cell line 17bp deletion,RNASEL,6041,2.45 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-rnasel-knockout-cell-line-21632
HZGHC003288c010,Human RNASEL knockout cell line 13bp deletion,RNASEL,6041,2.45 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-rnasel-knockout-cell-line-21633
HZGHC000171c005,Human RPS6KC1 knockout cell line 2bp deletion,RPS6KC1,26750,13.70 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-rps6kc1-knockout-cell-line-20608
HZGHC000171c011,Human RPS6KC1 knockout cell line 13bp deletion,RPS6KC1,26750,13.70 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-rps6kc1-knockout-cell-line-20609
HZGHC001347c002,Human RPS6KL1 knockout cell line 1bp insertion,RPS6KL1,83694,6.23 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-rps6kl1-knockout-cell-line-21622
HZGHC003003c011,Human RPS6KL1 knockout cell line 4bp deletion,RPS6KL1,83694,6.23 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-rps6kl1-knockout-cell-line-21623
HZGHC003003c012,Human RPS6KL1 knockout cell line 8bp deletion,RPS6KL1,83694,6.23 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-rps6kl1-knockout-cell-line-21624
HZGHC000106c010,Human SBK1 knockout cell line 5bp deletion,SBK1,388228,6.56 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-sbk1-knockout-cell-line-19798
HZGHC000106c017,Human SBK1 knockout cell line 28bp deletion,SBK1,388228,6.56 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-sbk1-knockout-cell-line-19799
HZGHC000106c018,Human SBK1 knockout cell line 4bp deletion,SBK1,388228,6.56 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-sbk1-knockout-cell-line-19800
HZGHC646643,Human SBK2 knockout cell line,SBK2,646643,0.00 TPM,not expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-sbk2-knockout-cell-line
HZGHC100130827,Human SBK3 knockout cell line,SBK3,100130827,0.15 TPM,not expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-sbk3-knockout-cell-line
HZGHC000286c003,Human SCYL1 knockout cell line 5bp deletion,SCYL1,57410,52.58 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-scyl1-knockout-cell-line-3802
HZGHC000286c005,Human SCYL1 knockout cell line 1bp insertion,SCYL1,57410,52.58 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-scyl1-knockout-cell-line-3803
HZGHC000173c013,Human SCYL2 knockout cell line 19bp deletion,SCYL2,55681,33.69 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-scyl2-knockout-cell-line-20594
HZGHC000173c011,Human SCYL2 knockout cell line 22bp deletion,SCYL2,55681,33.69 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-scyl2-knockout-cell-line-20595
HZGHC000174c004,Human SCYL3 knockout cell line 8bp deletion,SCYL3,57147,3.59 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-scyl3-knockout-cell-line-19603
HZGHC000174c005,Human SCYL3 knockout cell line 22bp deletion,SCYL3,57147,3.59 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-scyl3-knockout-cell-line-19604
HZGHC004397c012,Human SRPK3 knockout cell line 7bp deletion,SRPK3,26576,1.32 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-srpk3-7bp-deletion-knockout-cell-line-hzghc004397c012
HZGHC001251c011,Human STK17A knockout cell line 20bp deletion,STK17A,9263,9.19 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-stk17a-knockout-cell-line-20030
HZGHC000066c017,Human STK17B knockout cell line 10bp deletion,STK17B,9262,4.02 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-stk17b-knockout-cell-line-3898
HZGHC000066c019,Human STK17B knockout cell line 14bp deletion,STK17B,9262,4.02 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-stk17b-knockout-cell-line-3899
HZGHC000353c003,Human STK19 knockout cell line 23bp deletion,STK19,8859,12.15 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-stk19-knockout-cell-line-20621
HZGHC000353c008,Human STK19 knockout cell line 2bp insertion,STK19,8859,12.15 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-stk19-knockout-cell-line-20622
HZGHC001256c002,Human STK3 knockout cell line 8bp deletion,STK3,6788,12.62 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-stk3-knockout-cell-line-21299
HZGHC003006c001,Human STK3 knockout cell line 11bp deletion,STK3,6788,12.62 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-stk3-knockout-cell-line-21300
HZGHC003006c002,Human STK3 knockout cell line 7bp deletion,STK3,6788,12.62 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-stk3-knockout-cell-line-21301
HZGHC56164,Human STK31 knockout cell line,STK31,56164,0.40 TPM,not expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-stk31-knockout-cell-line
HZGHC202374,Human STK32A knockout cell line,STK32A,202374,0.04 TPM,not expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-stk32a-knockout-cell-line
HZGHC000349c006,Human STK32B knockout cell line 8bp deletion,STK32B,55351,1.30 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-stk32b-knockout-cell-line-21359
HZGHC000349c012,Human STK32B knockout cell line 2bp deletion,STK32B,55351,1.30 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-stk32b-knockout-cell-line-21360
HZGHC000067c006,Human STK32C knockout cell line 13bp deletion,STK32C,282974,23.08 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-stk32c-knockout-cell-line-22561
HZGHC000067c021,Human STK32C knockout cell line 8bp deletion,STK32C,282974,23.08 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-stk32c-knockout-cell-line-22562
HZGHC000068c018,Human STK33 Knockout HAP1 Cell Line,STK33,65975,2.56454,NA,HAP1,No delivery information,https://www.horizondiscovery.com/human-stk33-knockout-hap1-cell-line-24019
HZGHC65975,Human STK33 knockout cell line,STK33,65975,11.54 TPM,expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-stk33-knockout-cell-line
HZGHC000068c012,Human STK33 Knockout HAP1 Cell Line,STK33,65975,2.56454,NA,HAP1,No delivery information,https://www.horizondiscovery.com/human-stk33-knockout-hap1-cell-line
HZGHC000068c010,Human STK33 Knockout HAP1 Cell Line,STK33,65975,2.56454,NA,HAP1,No delivery information,https://www.horizondiscovery.com/human-stk33-knockout-hap1-cell-line-24020
HZGHC27148,Human STK36 knockout cell line,STK36,27148,11.86 TPM,expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-stk36-knockout-cell-line
HZGHC000249c001,Human STK38L knockout cell line 37bp deletion,STK38L,23012,44.51 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-stk38l-knockout-cell-line-3775
HZGHC000263c005,Human STK40 knockout cell line 146bp insertion,STK40,83931,20.99 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-stk40-knockout-cell-line-19620
HZGHC000029c020,Human TAOK1 knockout cell line 2bp deletion,TAOK1,57551,16.19 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-taok1-knockout-cell-line-3912
HZGHC000029c015,Human TAOK1 knockout cell line 14bp deletion,TAOK1,57551,16.19 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-taok1-knockout-cell-line-3913
HZGHC000030c002,Human TAOK2 knockout cell line 5bp deletion,TAOK2,9344,17.11 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-taok2-knockout-cell-line-21304
HZGHC000030c010,Human TAOK2 knockout cell line 2bp deletion,TAOK2,9344,17.11 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-taok2-knockout-cell-line-21305
HZGHC000267c023,Human TBCK knockout cell line 11bp deletion,TBCK,93627,5.16 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-tbck-knockout-cell-line-19622
HZGHC000294c008,Human TESK1 knockout cell line 8bp deletion,TESK1,7016,8.83 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-tesk1-knockout-cell-line-20604
HZGHC000294c013,Human TESK1 knockout cell line 5bp deletion,TESK1,7016,8.83 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-tesk1-knockout-cell-line-20605
HZGHC000033c012,Human TESK2 knockout cell line 4bp deletion,TESK2,10420,3.74 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-tesk2-knockout-cell-line-22546
HZGHC000033c002,Human TESK2 knockout cell line 7bp deletion,TESK2,10420,3.74 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-tesk2-knockout-cell-line-22547
HZGHC000200c007,Human TLK1 knockout cell line 26bp deletion,TLK1,9874,22.08 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-tlk1-knockout-cell-line-19595
HZGHC11011,Human TLK2 knockout cell line,TLK2,11011,58.52 TPM,expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-tlk2-knockout-cell-line
HZGHC83942,Human TSSK1B knockout cell line,TSSK1B,83942,0.05 TPM,not expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-tssk1b-knockout-cell-line
HZGHC000701c010,Human TSSK2 knockout cell line 2bp deletion,TSSK2,23617,0.00 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-tssk2-knockout-cell-line-3496
HZGHC000368c013,Human TSSK3 knockout cell line 16bp deletion,TSSK3,81629,4.98 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-tssk3-knockout-cell-line-19529
HZGHC000367c002,Human TSSK4 knockout cell line 1bp insertion,TSSK4,283629,1.67 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-tssk4-knockout-cell-line-25649
HZGHC000367c016,Human TSSK4 knockout cell line 28bp deletion,TSSK4,283629,1.67 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-tssk4-knockout-cell-line-25650
HZGHC83983,Human TSSK6 knockout cell line,TSSK6,83983,0.83 TPM,not expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-tssk6-knockout-cell-line
HZGHC84630,Human TTBK1 knockout cell line,TTBK1,84630,0.39 TPM,not expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-ttbk1-knockout-cell-line
HZGHC000113c001,Human TTBK2 knockout cell line 19bp deletion,TTBK2,146057,4.02 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-ttbk2-knockout-cell-line-25876
HZGHC000113c021,Human TTBK2 knockout cell line 7bp deletion,TTBK2,146057,4.02 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-ttbk2-knockout-cell-line-25877
HZGHC000113c011,Human TTBK2 knockout cell line 11bp deletion,TTBK2,146057,4.02 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-ttbk2-knockout-cell-line-25878
HZGHC000346c009,Human ULK4 knockout cell line 19bp deletion,ULK4,54986,2.82 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-ulk4-knockout-cell-line-19613
HZGHC000403c006,Human VRK2 knockout cell line 7bp deletion,VRK2,7444,47.75 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-vrk2-knockout-cell-line-19825
HZGHC000189c011,Human VRK3 knockout cell line 1bp insertion,VRK3,51231,28.30 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-vrk3-knockout-cell-line-3771
HZGHC494551,Human WEE2 knockout cell line,WEE2,494551,0.40 TPM,not expressed,HAP1,Approximately 12 weeks,https://www.horizondiscovery.com/human-wee2-knockout-cell-line
HZGHC000622c011,Human WNK2 knockout cell line 1bp insertion,WNK2,65268,9.22 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-wnk2-knockout-cell-line-3588
HZGHC000622c012,Human WNK2 knockout cell line 1bp insertion,WNK2,65268,9.22 TPM,expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-wnk2-knockout-cell-line-3589
HZGHC000038c013,Human WNK3 knockout cell line 4bp deletion,WNK3,65267,2.90 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-wnk3-knockout-cell-line-21357
HZGHC000038c024,Human WNK3 knockout cell line 20bp deletion,WNK3,65267,2.90 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-wnk3-knockout-cell-line-21358
HZGHC002701c001,Human WNK3 knockout cell line 20bp insertion,WNK3,65267,2.90 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-wnk3-knockout-cell-line-21359
HZGHC002701c007,Human WNK3 knockout cell line 10bp deletion,WNK3,65267,2.90 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-wnk3-knockout-cell-line-21360
HZGHC002702c002,Human WNK3 knockout cell line 10bp deletion,WNK3,65267,2.90 TPM,not expressed,HAP1,Within 7 business days,https://www.horizondiscovery.com/human-wnk3-knockout-cell-line-21361
